a,Cl
-8.5,-0.547
-8.25,-0.5506
-8,-0.5589
-7.75,-0.5374
-7.5,-0.5255
-7,-0.6488
-6.75,-0.6477
-6.25,-0.6138
-6,-0.6477
-5.75,-0.6256
-5.5,-0.6035
-5.25,-0.5793
-5,-0.5527
-4.75,-0.5259
-4.5,-0.4988
-4.25,-0.471
-4,-0.4423
-3.75,-0.4143
-3.5,-0.3865
-3.25,-0.3613
-3,-0.252
-2.75,-0.232
-2.5,-0.2115
-2.25,-0.1907
-2,-0.1698
-1.75,-0.1488
-1.5,-0.1276
-1.25,-0.1063
-1,-0.085
-0.75,-0.0638
-0.5,-0.0426
-0.25,-0.0213
0,0
0.25,0.0213
0.5,0.0425
0.75,0.0638
1,0.085
1.25,0.1063
1.5,0.1276
1.75,0.1488
2,0.1698
2.25,0.1908
2.5,0.2115
2.75,0.232
3,0.2521
3.25,0.3613
3.5,0.3865
3.75,0.4143
4,0.4423
4.25,0.471
4.5,0.4988
4.75,0.5259
5,0.5527
5.25,0.5793
5.5,0.6035
5.75,0.6256
6,0.6477
6.75,0.6477
7,0.6512
7.5,0.6619
7.75,0.6788
8,0.6707
8.25,0.6829
8.5,0.6919
8.75,0.6874
9,0.6867
