  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 23012                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.436 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -11.510  -0.4048   0.11459   0.11218  -0.0107   1.0000   0.0290
 -11.020  -0.4060   0.10709   0.10469  -0.0129   1.0000   0.0303
 -10.041  -0.5407   0.09566   0.09319  -0.0104   1.0000   0.0299
  -9.061  -0.5947   0.05337   0.05044  -0.0365   1.0000   0.0325
  -7.592  -0.5932   0.03435   0.03118  -0.0254   1.0000   0.0345
  -7.102  -0.5946   0.02957   0.02609  -0.0185   1.0000   0.0366
  -6.612  -0.6193   0.03459   0.02999  -0.0098   1.0000   0.0390
  -5.633  -0.5265   0.01819   0.01187  -0.0071   0.9937   0.0296
  -5.143  -0.4539   0.01668   0.01009  -0.0107   0.9866   0.0323
  -4.653  -0.3819   0.01471   0.00815  -0.0145   0.9796   0.0352
  -4.163  -0.3060   0.01331   0.00671  -0.0189   0.9716   0.0394
  -3.673  -0.2399   0.01228   0.00569  -0.0209   0.9499   0.0439
  -3.184  -0.1847   0.01134   0.00475  -0.0205   0.9234   0.0500
  -2.694  -0.1348   0.01061   0.00397  -0.0190   0.8900   0.0576
  -2.204  -0.0852   0.01008   0.00334  -0.0173   0.8486   0.0694
  -1.714  -0.0352   0.00962   0.00280  -0.0158   0.8026   0.0957
  -1.224  -0.0013   0.00732   0.00224  -0.0124   0.7534   0.6036
  -0.735   0.0426   0.00690   0.00221  -0.0094   0.7002   0.7660
  -0.245   0.0899   0.00694   0.00228  -0.0069   0.6463   0.8532
   0.245   0.1384   0.00721   0.00239  -0.0046   0.5886   0.9083
   0.735   0.1929   0.00766   0.00260  -0.0036   0.5306   0.9459
   1.224   0.2592   0.00821   0.00281  -0.0056   0.4659   0.9663
   1.714   0.3327   0.00872   0.00296  -0.0096   0.4005   0.9751
   2.204   0.4046   0.00924   0.00313  -0.0136   0.3439   0.9842
   2.694   0.4802   0.00969   0.00332  -0.0183   0.3037   0.9911
   3.184   0.5550   0.01008   0.00353  -0.0229   0.2780   0.9974
   3.673   0.6135   0.01040   0.00373  -0.0242   0.2613   1.0000
   4.163   0.6577   0.01076   0.00399  -0.0225   0.2488   1.0000
   4.653   0.7025   0.01103   0.00425  -0.0207   0.2383   1.0000
   5.143   0.7465   0.01143   0.00462  -0.0188   0.2294   1.0000
   5.633   0.7905   0.01185   0.00499  -0.0169   0.2203   1.0000
   6.122   0.8350   0.01228   0.00545  -0.0150   0.2127   1.0000
   6.612   0.8792   0.01277   0.00591  -0.0132   0.2045   1.0000
   7.102   0.9245   0.01324   0.00645  -0.0115   0.1975   1.0000
   7.592   0.9693   0.01375   0.00695  -0.0098   0.1899   1.0000
   8.082   1.0152   0.01427   0.00756  -0.0084   0.1827   1.0000
   8.571   1.0608   0.01482   0.00812  -0.0070   0.1749   1.0000
   9.061   1.1075   0.01532   0.00874  -0.0058   0.1671   1.0000
   9.551   1.1524   0.01598   0.00940  -0.0045   0.1583   1.0000
  10.041   1.1995   0.01638   0.00993  -0.0036   0.1494   1.0000
  10.531   1.2445   0.01700   0.01065  -0.0024   0.1401   1.0000
  11.020   1.2875   0.01773   0.01144  -0.0010   0.1303   1.0000
  11.510   1.3290   0.01854   0.01230   0.0005   0.1193   1.0000
  12.000   1.3686   0.01944   0.01328   0.0022   0.1075   1.0000
