  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    18.164 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -25.500  -1.4714   0.16300   0.16129   0.0323   1.0000   0.0046
 -25.000  -1.5927   0.13422   0.13218   0.0130   1.0000   0.0046
 -24.500  -1.7010   0.10991   0.10757  -0.0013   1.0000   0.0045
 -24.000  -1.7993   0.08848   0.08585  -0.0127   1.0000   0.0045
 -23.500  -1.8691   0.07215   0.06929  -0.0205   1.0000   0.0045
 -23.000  -1.9183   0.05932   0.05627  -0.0262   1.0000   0.0046
 -22.500  -1.9508   0.04923   0.04602  -0.0301   1.0000   0.0047
 -22.000  -1.9663   0.04177   0.03843  -0.0322   1.0000   0.0047
 -21.500  -1.9741   0.03572   0.03226  -0.0331   1.0000   0.0048
 -21.000  -1.9723   0.03113   0.02759  -0.0329   1.0000   0.0049
 -20.500  -1.9639   0.02753   0.02390  -0.0319   1.0000   0.0050
 -20.000  -1.9508   0.02469   0.02098  -0.0301   1.0000   0.0050
 -19.500  -1.9338   0.02244   0.01867  -0.0277   1.0000   0.0050
 -19.000  -1.9138   0.02063   0.01681  -0.0248   1.0000   0.0050
 -18.500  -1.8910   0.01917   0.01530  -0.0216   1.0000   0.0051
 -18.000  -1.8661   0.01798   0.01407  -0.0180   1.0000   0.0051
 -17.500  -1.8410   0.01695   0.01300  -0.0138   1.0000   0.0052
 -17.000  -1.8076   0.01600   0.01202  -0.0108   1.0000   0.0056
 -16.500  -1.7690   0.01510   0.01110  -0.0087   1.0000   0.0060
 -16.000  -1.7277   0.01426   0.01025  -0.0069   1.0000   0.0064
 -15.500  -1.6836   0.01354   0.00952  -0.0055   1.0000   0.0066
 -15.000  -1.6375   0.01290   0.00888  -0.0044   1.0000   0.0067
 -14.500  -1.5899   0.01232   0.00829  -0.0034   1.0000   0.0068
 -14.000  -1.5416   0.01174   0.00771  -0.0024   1.0000   0.0071
 -13.500  -1.4931   0.01114   0.00712  -0.0015   1.0000   0.0078
 -13.000  -1.4439   0.01057   0.00656  -0.0007   1.0000   0.0084
 -12.500  -1.3939   0.01009   0.00609   0.0001   1.0000   0.0087
 -12.000  -1.3404   0.00966   0.00567   0.0003   0.9992   0.0088
 -11.500  -1.2832   0.00919   0.00521  -0.0004   0.9962   0.0097
 -11.000  -1.2275   0.00872   0.00477  -0.0007   0.9912   0.0107
 -10.500  -1.1753   0.00836   0.00442  -0.0001   0.9799   0.0111
 -10.000  -1.1233   0.00802   0.00407   0.0006   0.9645   0.0122
  -9.500  -1.0706   0.00769   0.00371   0.0011   0.9437   0.0134
  -9.000  -1.0163   0.00743   0.00342   0.0014   0.9206   0.0140
  -8.500  -0.9621   0.00715   0.00310   0.0017   0.8901   0.0161
  -8.000  -0.9069   0.00693   0.00283   0.0018   0.8567   0.0176
  -7.500  -0.8516   0.00671   0.00256   0.0019   0.8212   0.0199
  -7.000  -0.7958   0.00652   0.00233   0.0019   0.7834   0.0227
  -6.500  -0.7398   0.00636   0.00211   0.0019   0.7429   0.0260
  -6.000  -0.6836   0.00620   0.00190   0.0019   0.7040   0.0295
  -5.500  -0.6272   0.00605   0.00171   0.0018   0.6650   0.0354
  -5.000  -0.5707   0.00592   0.00154   0.0017   0.6255   0.0420
  -4.500  -0.5140   0.00577   0.00137   0.0016   0.5884   0.0517
  -4.000  -0.4571   0.00564   0.00122   0.0015   0.5522   0.0624
  -3.500  -0.4002   0.00554   0.00110   0.0013   0.5155   0.0775
  -3.000  -0.3432   0.00542   0.00098   0.0011   0.4797   0.0955
  -2.500  -0.2862   0.00532   0.00088   0.0010   0.4425   0.1190
  -2.000  -0.2290   0.00524   0.00081   0.0008   0.4079   0.1438
  -1.500  -0.1717   0.00517   0.00074   0.0006   0.3739   0.1722
  -1.000  -0.1144   0.00512   0.00070   0.0004   0.3402   0.2008
   0.000   0.0001   0.00505   0.00065  -0.0000   0.2725   0.2708
   0.500   0.0572   0.00508   0.00067  -0.0002   0.2343   0.3053
   1.000   0.1145   0.00511   0.00069  -0.0004   0.2038   0.3398
   1.500   0.1718   0.00517   0.00074  -0.0006   0.1723   0.3741
   2.000   0.2290   0.00525   0.00080  -0.0008   0.1430   0.4067
   2.500   0.2862   0.00532   0.00088  -0.0010   0.1198   0.4431
   3.000   0.3433   0.00542   0.00098  -0.0012   0.0958   0.4788
   3.500   0.4002   0.00553   0.00110  -0.0013   0.0776   0.5166
   4.000   0.4572   0.00565   0.00122  -0.0015   0.0624   0.5515
   4.500   0.5140   0.00577   0.00137  -0.0016   0.0518   0.5888
   5.000   0.5706   0.00592   0.00154  -0.0017   0.0418   0.6247
   5.500   0.6272   0.00605   0.00171  -0.0018   0.0354   0.6650
   6.000   0.6836   0.00620   0.00190  -0.0018   0.0295   0.7040
   6.500   0.7398   0.00636   0.00211  -0.0019   0.0261   0.7425
   7.000   0.7958   0.00652   0.00232  -0.0019   0.0227   0.7829
   7.500   0.8515   0.00671   0.00256  -0.0019   0.0199   0.8212
   8.000   0.9068   0.00694   0.00283  -0.0018   0.0175   0.8564
   8.500   0.9620   0.00715   0.00310  -0.0017   0.0162   0.8901
   9.000   1.0163   0.00743   0.00342  -0.0014   0.0140   0.9204
   9.500   1.0705   0.00769   0.00371  -0.0011   0.0134   0.9435
  10.000   1.1232   0.00802   0.00407  -0.0006   0.0122   0.9647
  10.500   1.1752   0.00836   0.00442   0.0001   0.0111   0.9802
  11.000   1.2275   0.00872   0.00477   0.0007   0.0107   0.9912
  11.500   1.2833   0.00919   0.00521   0.0004   0.0097   0.9961
  12.000   1.3405   0.00966   0.00567  -0.0003   0.0088   0.9992
  12.500   1.3939   0.01009   0.00609  -0.0002   0.0087   1.0000
  13.000   1.4440   0.01057   0.00656   0.0006   0.0084   1.0000
  13.500   1.4932   0.01114   0.00712   0.0015   0.0078   1.0000
  14.000   1.5417   0.01174   0.00771   0.0024   0.0071   1.0000
  14.500   1.5900   0.01232   0.00829   0.0033   0.0068   1.0000
  15.000   1.6376   0.01290   0.00888   0.0043   0.0067   1.0000
  15.500   1.6838   0.01353   0.00952   0.0055   0.0066   1.0000
  16.000   1.7279   0.01426   0.01025   0.0069   0.0064   1.0000
  16.500   1.7692   0.01510   0.01110   0.0087   0.0060   1.0000
  17.000   1.8079   0.01600   0.01202   0.0108   0.0056   1.0000
  17.500   1.8417   0.01695   0.01299   0.0136   0.0052   1.0000
  18.000   1.8669   0.01798   0.01406   0.0178   0.0051   1.0000
  18.500   1.8920   0.01916   0.01528   0.0214   0.0051   1.0000
  19.000   1.9150   0.02061   0.01679   0.0247   0.0050   1.0000
  19.500   1.9353   0.02240   0.01863   0.0275   0.0050   1.0000
  20.000   1.9525   0.02464   0.02094   0.0299   0.0050   1.0000
  20.500   1.9659   0.02746   0.02382   0.0317   0.0049   1.0000
  21.000   1.9748   0.03102   0.02747   0.0327   0.0049   1.0000
  21.500   1.9763   0.03564   0.03219   0.0329   0.0048   1.0000
  22.000   1.9701   0.04153   0.03818   0.0320   0.0047   1.0000
  22.500   1.9536   0.04911   0.04590   0.0297   0.0046   1.0000
  23.000   1.9221   0.05907   0.05602   0.0259   0.0046   1.0000
  23.500   1.8731   0.07192   0.06906   0.0202   0.0045   1.0000
  24.000   1.8052   0.08797   0.08534   0.0125   0.0045   1.0000
  24.500   1.7065   0.10946   0.10711   0.0011   0.0045   1.0000
  25.000   1.5942   0.13441   0.13237  -0.0135   0.0046   1.0000
