  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    18.164 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0001   0.00505   0.00065  -0.0000   0.2725   0.2708
   0.500   0.0572   0.00508   0.00067  -0.0002   0.2343   0.3053
   1.000   0.1145   0.00511   0.00069  -0.0004   0.2038   0.3398
   1.500   0.1718   0.00517   0.00074  -0.0006   0.1723   0.3741
   2.000   0.2290   0.00525   0.00080  -0.0008   0.1430   0.4067
   2.500   0.2862   0.00532   0.00088  -0.0010   0.1198   0.4431
   3.000   0.3433   0.00542   0.00098  -0.0012   0.0958   0.4788
   3.500   0.4002   0.00553   0.00110  -0.0013   0.0776   0.5166
   4.000   0.4572   0.00565   0.00122  -0.0015   0.0624   0.5515
   4.500   0.5140   0.00577   0.00137  -0.0016   0.0518   0.5888
   5.000   0.5706   0.00592   0.00154  -0.0017   0.0418   0.6247
   5.500   0.6272   0.00605   0.00171  -0.0018   0.0354   0.6650
   6.000   0.6836   0.00620   0.00190  -0.0018   0.0295   0.7040
   6.500   0.7398   0.00636   0.00211  -0.0019   0.0261   0.7425
   7.000   0.7958   0.00652   0.00232  -0.0019   0.0227   0.7829
   7.500   0.8515   0.00671   0.00256  -0.0019   0.0199   0.8212
   8.000   0.9068   0.00694   0.00283  -0.0018   0.0176   0.8564
   8.500   0.9620   0.00715   0.00310  -0.0017   0.0162   0.8901
   9.000   1.0163   0.00743   0.00342  -0.0014   0.0140   0.9204
   9.500   1.0705   0.00769   0.00371  -0.0011   0.0134   0.9435
  10.000   1.1232   0.00802   0.00407  -0.0006   0.0122   0.9647
  10.500   1.1752   0.00836   0.00442   0.0001   0.0111   0.9802
  11.000   1.2275   0.00872   0.00477   0.0007   0.0107   0.9912
