  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 23012                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    18.164 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -24.500  -1.7163   0.09182   0.08977  -0.0258   1.0000   0.0044
 -24.000  -1.8067   0.07144   0.06911  -0.0379   1.0000   0.0044
 -23.500  -1.8532   0.05866   0.05612  -0.0447   1.0000   0.0044
 -23.000  -1.8773   0.04960   0.04692  -0.0487   1.0000   0.0044
 -22.500  -1.8908   0.04253   0.03971  -0.0509   1.0000   0.0044
 -22.000  -1.8959   0.03695   0.03401  -0.0517   1.0000   0.0044
 -21.500  -1.8935   0.03253   0.02949  -0.0514   1.0000   0.0044
 -21.000  -1.8854   0.02904   0.02591  -0.0501   1.0000   0.0044
 -20.500  -1.8741   0.02617   0.02295  -0.0480   1.0000   0.0044
 -20.000  -1.8595   0.02382   0.02052  -0.0451   1.0000   0.0045
 -19.500  -1.8436   0.02180   0.01841  -0.0415   1.0000   0.0046
 -19.000  -1.8254   0.02012   0.01666  -0.0374   1.0000   0.0048
 -18.500  -1.8047   0.01877   0.01525  -0.0327   1.0000   0.0051
 -18.000  -1.7766   0.01759   0.01402  -0.0289   1.0000   0.0054
 -17.500  -1.7400   0.01652   0.01292  -0.0263   1.0000   0.0056
 -17.000  -1.6998   0.01558   0.01196  -0.0242   1.0000   0.0058
 -16.500  -1.6568   0.01476   0.01112  -0.0224   1.0000   0.0059
 -16.000  -1.6117   0.01403   0.01037  -0.0209   1.0000   0.0060
 -15.500  -1.5651   0.01335   0.00968  -0.0195   1.0000   0.0061
 -15.000  -1.5174   0.01272   0.00904  -0.0183   1.0000   0.0061
 -14.500  -1.4688   0.01213   0.00844  -0.0171   1.0000   0.0062
 -14.000  -1.4195   0.01157   0.00787  -0.0160   1.0000   0.0062
 -13.500  -1.3700   0.01105   0.00734  -0.0149   1.0000   0.0062
 -13.000  -1.3161   0.01053   0.00683  -0.0147   0.9986   0.0062
 -12.000  -1.2057   0.00952   0.00580  -0.0147   0.9868   0.0064
 -11.500  -1.1555   0.00905   0.00531  -0.0135   0.9711   0.0069
 -11.000  -1.1040   0.00860   0.00484  -0.0126   0.9531   0.0075
 -10.500  -1.0515   0.00824   0.00442  -0.0118   0.9274   0.0078
 -10.000  -0.9977   0.00794   0.00406  -0.0113   0.8989   0.0081
  -9.500  -0.9432   0.00769   0.00374  -0.0108   0.8626   0.0082
  -9.000  -0.8882   0.00747   0.00344  -0.0105   0.8233   0.0082
  -8.500  -0.8331   0.00726   0.00314  -0.0102   0.7788   0.0085
  -8.000  -0.7781   0.00707   0.00283  -0.0099   0.7199   0.0093
  -7.000  -0.6671   0.00684   0.00232  -0.0095   0.5804   0.0104
  -6.500  -0.6106   0.00671   0.00213  -0.0095   0.5435   0.0105
  -6.000  -0.5540   0.00656   0.00192  -0.0094   0.5116   0.0115
  -5.500  -0.4973   0.00642   0.00173  -0.0094   0.4809   0.0127
  -5.000  -0.4403   0.00634   0.00158  -0.0095   0.4431   0.0131
  -4.500  -0.3832   0.00624   0.00143  -0.0095   0.4126   0.0146
  -4.000  -0.3261   0.00618   0.00130  -0.0096   0.3764   0.0160
  -3.500  -0.2687   0.00612   0.00120  -0.0097   0.3467   0.0177
  -3.000  -0.2113   0.00609   0.00110  -0.0098   0.3131   0.0194
  -2.500  -0.1538   0.00606   0.00103  -0.0100   0.2864   0.0226
  -2.000  -0.0961   0.00603   0.00096  -0.0102   0.2637   0.0258
  -1.500  -0.0385   0.00603   0.00092  -0.0104   0.2408   0.0305
  -1.000   0.0194   0.00600   0.00088  -0.0106   0.2272   0.0360
  -0.500   0.0773   0.00597   0.00086  -0.0108   0.2153   0.0445
   0.000   0.1351   0.00595   0.00085  -0.0111   0.2024   0.0582
   0.500   0.1930   0.00590   0.00084  -0.0114   0.1982   0.0823
   1.000   0.2489   0.00552   0.00082  -0.0114   0.1874   0.2551
   1.500   0.3057   0.00529   0.00082  -0.0116   0.1840   0.3602
   2.000   0.3626   0.00517   0.00085  -0.0118   0.1737   0.4438
   2.500   0.4199   0.00504   0.00089  -0.0120   0.1710   0.5229
   3.000   0.4765   0.00493   0.00096  -0.0122   0.1618   0.6226
   3.500   0.5343   0.00494   0.00104  -0.0126   0.1579   0.6589
   4.000   0.5918   0.00502   0.00113  -0.0129   0.1502   0.6901
   4.500   0.6494   0.00507   0.00123  -0.0132   0.1447   0.7223
   5.000   0.7065   0.00517   0.00135  -0.0135   0.1382   0.7552
   5.500   0.7637   0.00524   0.00147  -0.0138   0.1316   0.7892
   6.000   0.8203   0.00538   0.00163  -0.0140   0.1227   0.8223
   6.500   0.8767   0.00552   0.00180  -0.0142   0.1154   0.8547
   7.000   0.9326   0.00570   0.00199  -0.0143   0.1054   0.8854
   7.500   0.9879   0.00594   0.00222  -0.0144   0.0944   0.9116
   8.000   1.0424   0.00621   0.00249  -0.0143   0.0831   0.9364
   8.500   1.0955   0.00662   0.00284  -0.0140   0.0685   0.9552
   9.000   1.1482   0.00701   0.00319  -0.0136   0.0562   0.9706
   9.500   1.1993   0.00747   0.00358  -0.0129   0.0458   0.9841
  10.000   1.2503   0.00798   0.00402  -0.0123   0.0348   0.9938
  10.500   1.3078   0.00853   0.00450  -0.0133   0.0272   0.9974
  11.000   1.3642   0.00908   0.00499  -0.0140   0.0209   0.9997
  11.500   1.4151   0.00959   0.00546  -0.0136   0.0173   1.0000
  12.000   1.4649   0.01013   0.00596  -0.0130   0.0144   1.0000
  12.500   1.5143   0.01071   0.00651  -0.0123   0.0118   1.0000
  13.000   1.5635   0.01127   0.00705  -0.0118   0.0106   1.0000
  13.500   1.6118   0.01185   0.00763  -0.0111   0.0093   1.0000
  14.000   1.6587   0.01251   0.00827  -0.0102   0.0083   1.0000
  14.500   1.7047   0.01317   0.00893  -0.0093   0.0073   1.0000
  15.000   1.7488   0.01390   0.00966  -0.0081   0.0066   1.0000
  15.500   1.7907   0.01471   0.01046  -0.0066   0.0057   1.0000
  16.000   1.8315   0.01548   0.01124  -0.0050   0.0055   1.0000
  16.500   1.8678   0.01637   0.01215  -0.0028   0.0052   1.0000
  17.000   1.8921   0.01743   0.01324   0.0014   0.0048   1.0000
  17.500   1.9149   0.01869   0.01454   0.0052   0.0042   1.0000
  18.000   1.9374   0.02015   0.01604   0.0084   0.0041   1.0000
  18.500   1.9567   0.02199   0.01793   0.0112   0.0040   1.0000
  19.000   1.9710   0.02443   0.02044   0.0137   0.0038   1.0000
  19.500   1.9791   0.02773   0.02381   0.0155   0.0036   1.0000
  20.000   1.9814   0.03205   0.02821   0.0162   0.0033   1.0000
  20.500   1.9761   0.03763   0.03390   0.0159   0.0031   1.0000
  21.000   1.9599   0.04499   0.04140   0.0143   0.0030   1.0000
  21.500   1.9294   0.05474   0.05131   0.0111   0.0029   1.0000
  22.000   1.8728   0.06854   0.06533   0.0057   0.0029   1.0000
  22.500   1.7803   0.08797   0.08505  -0.0024   0.0029   1.0000
  23.000   1.6631   0.11210   0.10950  -0.0135   0.0030   1.0000
  23.500   1.5712   0.13348   0.13114  -0.0246   0.0031   1.0000
  24.000   1.5088   0.15106   0.14890  -0.0349   0.0031   1.0000
  24.500   1.4592   0.16713   0.16515  -0.0451   0.0031   1.0000
  25.000   1.4326   0.17953   0.17766  -0.0537   0.0030   1.0000
