  
       XFOIL         Version 6.99
  
 Calculated polar for: P-51D ROOT (BL17.5) AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    18.164 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -25.500  -1.1645   0.15296   0.15120  -0.0192   0.9981   0.0012
 -25.000  -1.3017   0.12120   0.11904  -0.0404   0.9978   0.0011
 -24.500  -1.3832   0.10056   0.09812  -0.0538   0.9974   0.0011
 -24.000  -1.4222   0.08722   0.08461  -0.0625   0.9968   0.0011
 -23.500  -1.4470   0.07640   0.07363  -0.0696   0.9960   0.0011
 -23.000  -1.4652   0.06705   0.06415  -0.0753   0.9949   0.0012
 -22.500  -1.4715   0.05938   0.05638  -0.0801   0.9928   0.0012
 -22.000  -1.4604   0.05352   0.05024  -0.0848   0.9241   0.0011
 -21.500  -1.4624   0.04844   0.04503  -0.0858   0.9067   0.0011
 -21.000  -1.4634   0.04367   0.04015  -0.0864   0.8939   0.0012
 -20.500  -1.4573   0.03971   0.03612  -0.0866   0.8903   0.0012
 -20.000  -1.4494   0.03618   0.03251  -0.0862   0.8849   0.0012
 -19.500  -1.4410   0.03293   0.02919  -0.0855   0.8778   0.0012
 -19.000  -1.4303   0.03001   0.02621  -0.0844   0.8718   0.0012
 -18.500  -1.4181   0.02736   0.02352  -0.0830   0.8711   0.0012
 -18.000  -1.4040   0.02497   0.02109  -0.0813   0.8697   0.0012
 -17.500  -1.3885   0.02280   0.01888  -0.0793   0.8666   0.0013
 -17.000  -1.3715   0.02082   0.01685  -0.0771   0.8618   0.0013
 -16.500  -1.3540   0.01900   0.01497  -0.0745   0.8546   0.0014
 -16.000  -1.3345   0.01739   0.01333  -0.0717   0.8508   0.0016
 -15.500  -1.3156   0.01591   0.01183  -0.0684   0.8503   0.0018
 -15.000  -1.2933   0.01474   0.01064  -0.0650   0.8493   0.0017
 -14.500  -1.2778   0.01350   0.00937  -0.0603   0.8465   0.0022
 -13.500  -1.2735   0.01127   0.00705  -0.0437   0.8297   0.0073
 -13.000  -1.2374   0.01060   0.00639  -0.0408   0.8275   0.0089
 -12.500  -1.1937   0.01016   0.00592  -0.0391   0.8105   0.0092
 -12.000  -1.1498   0.00971   0.00540  -0.0375   0.7735   0.0108
 -11.500  -1.1037   0.00951   0.00499  -0.0362   0.6739   0.0114
 -11.000  -1.0543   0.00923   0.00462  -0.0354   0.6277   0.0120
 -10.500  -1.0044   0.00888   0.00424  -0.0347   0.6019   0.0135
 -10.000  -0.9524   0.00859   0.00392  -0.0343   0.5804   0.0142
  -9.500  -0.8994   0.00830   0.00362  -0.0340   0.5696   0.0154
  -9.000  -0.8461   0.00801   0.00332  -0.0338   0.5535   0.0167
  -8.500  -0.7914   0.00776   0.00307  -0.0339   0.5465   0.0172
  -8.000  -0.7364   0.00753   0.00283  -0.0339   0.5343   0.0187
  -7.500  -0.6809   0.00727   0.00259  -0.0341   0.5289   0.0202
  -7.000  -0.6247   0.00705   0.00239  -0.0343   0.5254   0.0219
  -6.500  -0.5685   0.00685   0.00219  -0.0345   0.5171   0.0239
  -6.000  -0.5118   0.00665   0.00200  -0.0348   0.5060   0.0269
  -5.500  -0.4548   0.00644   0.00183  -0.0352   0.5042   0.0311
  -5.000  -0.3975   0.00627   0.00168  -0.0356   0.4986   0.0357
  -4.500  -0.3400   0.00613   0.00155  -0.0360   0.4887   0.0401
  -4.000  -0.2820   0.00599   0.00143  -0.0365   0.4830   0.0444
  -3.500  -0.2239   0.00583   0.00131  -0.0371   0.4810   0.0519
  -3.000  -0.1662   0.00570   0.00121  -0.0375   0.4718   0.0627
  -2.500  -0.1090   0.00547   0.00108  -0.0379   0.4614   0.0960
  -2.000  -0.0511   0.00525   0.00097  -0.0385   0.4601   0.1287
  -1.500   0.0073   0.00510   0.00090  -0.0391   0.4572   0.1540
  -1.000   0.0650   0.00497   0.00085  -0.0395   0.4472   0.1906
  -0.500   0.1211   0.00454   0.00072  -0.0399   0.4390   0.3021
   0.000   0.1787   0.00438   0.00068  -0.0404   0.4300   0.3599
   0.500   0.2356   0.00414   0.00062  -0.0408   0.4173   0.4408
   1.000   0.2913   0.00418   0.00066  -0.0409   0.3780   0.4905
   1.500   0.3424   0.00479   0.00093  -0.0404   0.2612   0.5124
   2.000   0.3999   0.00492   0.00101  -0.0408   0.2372   0.5264
   2.500   0.4555   0.00523   0.00116  -0.0409   0.1920   0.5325
   3.000   0.5087   0.00569   0.00140  -0.0407   0.1247   0.5468
   3.500   0.5652   0.00589   0.00154  -0.0409   0.1071   0.5536
   4.500   0.6729   0.00664   0.00202  -0.0405   0.0458   0.5645
   5.000   0.7259   0.00700   0.00229  -0.0402   0.0249   0.5708
   5.500   0.7803   0.00726   0.00251  -0.0401   0.0193   0.5742
   6.000   0.8296   0.00781   0.00296  -0.0390   0.0005   0.5756
   6.500   0.8825   0.00809   0.00322  -0.0387   0.0005   0.5771
   7.000   0.9344   0.00839   0.00350  -0.0382   0.0005   0.5834
   7.500   0.9851   0.00870   0.00380  -0.0375   0.0005   0.5890
   8.000   1.0346   0.00902   0.00412  -0.0366   0.0005   0.5934
   8.500   1.0826   0.00938   0.00446  -0.0354   0.0005   0.5962
   9.000   1.1286   0.00976   0.00482  -0.0339   0.0005   0.5976
   9.500   1.1720   0.01016   0.00522  -0.0319   0.0005   0.5983
  10.000   1.2047   0.01053   0.00559  -0.0277   0.0005   0.6031
  10.500   1.2316   0.01100   0.00607  -0.0226   0.0005   0.6102
  11.000   1.2592   0.01156   0.00666  -0.0180   0.0005   0.6156
  11.500   1.2881   0.01219   0.00730  -0.0138   0.0005   0.6192
  12.000   1.3173   0.01290   0.00801  -0.0100   0.0005   0.6208
