  
       XFOIL         Version 6.97
  
 Calculated polar for: P-51D ROOT (BL17.5) AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    16.395 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -27.250  -0.8717   0.25459   0.25379   0.0507   0.9988   0.0012
 -27.000  -0.8741   0.24739   0.24654   0.0451   0.9987   0.0012
 -26.750  -0.8671   0.24310   0.24223   0.0408   0.9986   0.0012
 -26.250  -0.8783   0.22814   0.22717   0.0295   0.9983   0.0012
 -26.000  -0.8883   0.22012   0.21910   0.0237   0.9981   0.0012
 -25.750  -0.9056   0.21080   0.20971   0.0173   0.9980   0.0012
 -25.250  -1.1931   0.14497   0.14309  -0.0239   0.9981   0.0012
 -25.000  -1.2727   0.12726   0.12515  -0.0355   0.9980   0.0012
 -24.750  -1.3215   0.11529   0.11302  -0.0433   0.9978   0.0012
 -24.500  -1.3607   0.10525   0.10284  -0.0498   0.9976   0.0012
 -24.250  -1.3858   0.09762   0.09511  -0.0547   0.9974   0.0012
 -24.000  -1.4132   0.08972   0.08710  -0.0598   0.9971   0.0012
 -23.750  -1.4285   0.08381   0.08111  -0.0637   0.9968   0.0012
 -23.500  -1.4404   0.07841   0.07564  -0.0672   0.9964   0.0012
 -23.250  -1.4498   0.07348   0.07065  -0.0704   0.9960   0.0012
 -23.000  -1.4572   0.06899   0.06608  -0.0732   0.9955   0.0012
 -22.750  -1.4628   0.06484   0.06188  -0.0757   0.9948   0.0012
 -22.500  -1.4621   0.06158   0.05857  -0.0777   0.9939   0.0012
 -22.250  -1.4627   0.05812   0.05507  -0.0798   0.9926   0.0012
 -21.750  -1.4497   0.05201   0.04868  -0.0853   0.9264   0.0012
 -21.500  -1.4525   0.04939   0.04597  -0.0857   0.9119   0.0012
 -21.250  -1.4536   0.04683   0.04336  -0.0862   0.9077   0.0012
 -21.000  -1.4508   0.04480   0.04128  -0.0863   0.9024   0.0012
 -20.750  -1.4518   0.04245   0.03887  -0.0865   0.8952   0.0012
 -20.500  -1.4464   0.04070   0.03709  -0.0866   0.8920   0.0012
 -20.250  -1.4455   0.03858   0.03493  -0.0865   0.8906   0.0012
 -20.000  -1.4395   0.03699   0.03331  -0.0864   0.8885   0.0012
 -19.750  -1.4360   0.03525   0.03154  -0.0861   0.8858   0.0012
 -19.500  -1.4313   0.03367   0.02992  -0.0857   0.8829   0.0012
 -19.250  -1.4252   0.03223   0.02845  -0.0852   0.8795   0.0013
 -19.000  -1.4213   0.03067   0.02685  -0.0846   0.8755   0.0013
 -18.750  -1.4138   0.02942   0.02557  -0.0840   0.8722   0.0013
 -18.500  -1.4093   0.02798   0.02410  -0.0833   0.8717   0.0013
 -18.250  -1.4009   0.02684   0.02295  -0.0826   0.8713   0.0013
 -18.000  -1.3954   0.02555   0.02163  -0.0816   0.8708   0.0013
 -17.750  -1.3865   0.02450   0.02057  -0.0808   0.8701   0.0013
 -17.500  -1.3798   0.02335   0.01940  -0.0798   0.8691   0.0014
 -17.250  -1.3710   0.02234   0.01836  -0.0787   0.8675   0.0014
 -17.000  -1.3628   0.02133   0.01733  -0.0776   0.8654   0.0015
 -16.750  -1.3548   0.02034   0.01631  -0.0764   0.8630   0.0016
 -16.500  -1.3458   0.01945   0.01539  -0.0751   0.8600   0.0017
 -16.250  -1.3366   0.01858   0.01451  -0.0738   0.8561   0.0017
 -16.000  -1.3278   0.01774   0.01364  -0.0723   0.8522   0.0018
 -15.750  -1.3191   0.01693   0.01281  -0.0707   0.8509   0.0019
 -15.500  -1.3102   0.01618   0.01204  -0.0689   0.8507   0.0020
 -15.250  -1.3004   0.01549   0.01135  -0.0672   0.8504   0.0021
 -15.000  -1.2905   0.01486   0.01070  -0.0653   0.8500   0.0023
 -14.250  -1.2941   0.01233   0.00813  -0.0540   0.8460   0.0070
 -14.000  -1.2886   0.01191   0.00769  -0.0505   0.8430   0.0078
 -13.750  -1.2859   0.01153   0.00729  -0.0463   0.8384   0.0086
 -13.500  -1.2731   0.01128   0.00702  -0.0438   0.8326   0.0089
 -13.250  -1.2538   0.01102   0.00676  -0.0425   0.8299   0.0091
 -13.000  -1.2333   0.01076   0.00651  -0.0415   0.8292   0.0093
 -12.750  -1.2129   0.01048   0.00623  -0.0404   0.8280   0.0101
 -12.500  -1.1920   0.01019   0.00595  -0.0394   0.8253   0.0107
 -12.250  -1.1698   0.00997   0.00570  -0.0386   0.8145   0.0112
 -12.000  -1.1465   0.00976   0.00549  -0.0380   0.8064   0.0114
 -11.750  -1.1229   0.00961   0.00528  -0.0374   0.7830   0.0115
 -11.500  -1.1001   0.00958   0.00509  -0.0367   0.7120   0.0117
 -11.250  -1.0763   0.00945   0.00489  -0.0362   0.6761   0.0124
 -11.000  -1.0523   0.00929   0.00468  -0.0357   0.6508   0.0130
 -10.750  -1.0277   0.00914   0.00449  -0.0353   0.6291   0.0136
 -10.500  -1.0022   0.00898   0.00431  -0.0350   0.6174   0.0140
 -10.250  -0.9764   0.00885   0.00415  -0.0348   0.6022   0.0142
 -10.000  -0.9502   0.00871   0.00400  -0.0346   0.5945   0.0144
  -9.750  -0.9241   0.00857   0.00384  -0.0344   0.5815   0.0151
  -9.500  -0.8981   0.00838   0.00367  -0.0342   0.5763   0.0162
  -9.250  -0.8715   0.00824   0.00352  -0.0341   0.5704   0.0168
  -9.000  -0.8446   0.00812   0.00338  -0.0341   0.5617   0.0171
  -8.750  -0.8173   0.00800   0.00326  -0.0341   0.5537   0.0172
  -8.500  -0.7899   0.00787   0.00313  -0.0341   0.5516   0.0177
  -8.250  -0.7627   0.00774   0.00300  -0.0341   0.5473   0.0187
  -8.000  -0.7354   0.00762   0.00287  -0.0341   0.5416   0.0195
  -7.750  -0.7078   0.00750   0.00275  -0.0341   0.5352   0.0202
  -7.500  -0.6798   0.00739   0.00265  -0.0342   0.5297   0.0205
  -7.250  -0.6518   0.00728   0.00254  -0.0343   0.5290   0.0214
  -7.000  -0.6239   0.00714   0.00242  -0.0344   0.5279   0.0229
  -6.750  -0.5958   0.00703   0.00232  -0.0345   0.5257   0.0238
  -6.500  -0.5675   0.00694   0.00223  -0.0347   0.5223   0.0246
  -6.250  -0.5395   0.00684   0.00213  -0.0348   0.5174   0.0265
  -6.000  -0.5112   0.00675   0.00204  -0.0349   0.5107   0.0277
