  
       XFOIL         Version 6.99
  
 Calculated polar for: P-51D ROOT (BL17.5) AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    18.164 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1787   0.00438   0.00068  -0.0404   0.4300   0.3599
   0.500   0.2356   0.00414   0.00062  -0.0408   0.4173   0.4408
   1.000   0.2913   0.00418   0.00066  -0.0409   0.3780   0.4905
   1.500   0.3424   0.00479   0.00093  -0.0404   0.2612   0.5124
   2.000   0.3999   0.00492   0.00101  -0.0408   0.2372   0.5264
   2.500   0.4555   0.00523   0.00116  -0.0409   0.1920   0.5325
   3.000   0.5087   0.00569   0.00140  -0.0407   0.1247   0.5468
   3.500   0.5652   0.00589   0.00154  -0.0409   0.1071   0.5536
   4.500   0.6729   0.00664   0.00202  -0.0405   0.0458   0.5645
   5.000   0.7259   0.00700   0.00229  -0.0402   0.0249   0.5708
   5.500   0.7803   0.00726   0.00251  -0.0401   0.0193   0.5742
   7.000   0.9344   0.00839   0.00350  -0.0382   0.0005   0.5834
   7.500   0.9851   0.00870   0.00380  -0.0375   0.0005   0.5890
   8.000   1.0346   0.00902   0.00412  -0.0366   0.0005   0.5934
   8.500   1.0826   0.00938   0.00446  -0.0354   0.0005   0.5962
   9.000   1.1286   0.00976   0.00482  -0.0339   0.0005   0.5976
   9.500   1.1720   0.01016   0.00522  -0.0319   0.0005   0.5983
  10.000   1.2047   0.01053   0.00559  -0.0277   0.0005   0.6031
  10.500   1.2316   0.01100   0.00607  -0.0226   0.0005   0.6102
  11.000   1.2592   0.01156   0.00666  -0.0180   0.0005   0.6156
  11.500   1.2881   0.01219   0.00730  -0.0138   0.0005   0.6192
  12.000   1.3173   0.01290   0.00801  -0.0100   0.0005   0.6208
  12.500   1.3450   0.01369   0.00883  -0.0061   0.0005   0.6242
  13.000   1.3715   0.01458   0.00974  -0.0022   0.0005   0.6338
  13.500   1.3980   0.01553   0.01073   0.0014   0.0005   0.6411
  14.000   1.4240   0.01662   0.01184   0.0048   0.0005   0.6441
  14.500   1.4465   0.01787   0.01312   0.0085   0.0005   0.6540
  15.000   1.4681   0.01926   0.01457   0.0119   0.0005   0.6636
  15.500   1.4874   0.02088   0.01624   0.0152   0.0005   0.6693
  16.000   1.5062   0.02268   0.01809   0.0182   0.0005   0.6862
  16.500   1.5226   0.02475   0.02026   0.0210   0.0005   0.7099
  17.000   1.5346   0.02684   0.02270   0.0242   0.0005   0.8621
  17.500   1.5631   0.02942   0.02564   0.0234   0.0005   0.9950
  18.000   1.5844   0.03248   0.02874   0.0233   0.0005   0.9964
  18.500   1.6041   0.03626   0.03259   0.0221   0.0005   0.9973
  19.000   1.6283   0.04048   0.03688   0.0193   0.0006   0.9981
  19.500   1.6571   0.04524   0.04169   0.0148   0.0006   0.9988
  20.000   1.6833   0.05041   0.04693   0.0101   0.0005   0.9993
  20.500   1.6976   0.05639   0.05299   0.0062   0.0006   0.9997
  21.000   1.7044   0.06299   0.05969   0.0026   0.0006   0.9999
  21.500   1.7031   0.06964   0.06644   0.0003   0.0006   1.0000
  22.000   1.6921   0.07678   0.07368  -0.0012   0.0006   1.0000
  22.500   1.6782   0.08438   0.08139  -0.0031   0.0006   1.0000
  23.000   1.6617   0.09260   0.08972  -0.0055   0.0006   1.0000
  23.500   1.6395   0.10170   0.09895  -0.0085   0.0006   1.0000
  24.000   1.6067   0.11282   0.11021  -0.0129   0.0006   1.0000
  24.500   1.5655   0.12547   0.12303  -0.0187   0.0006   1.0000
  25.000   1.5233   0.13885   0.13658  -0.0257   0.0006   1.0000
  25.500   1.4626   0.15585   0.15379  -0.0357   0.0006   1.0000
  27.000   1.3036   0.20886   0.20739  -0.0727   0.0006   1.0000
  27.500   1.2510   0.22930   0.22805  -0.0881   0.0006   1.0000
  28.000   1.1953   0.25248   0.25144  -0.1052   0.0006   1.0000
  28.500   1.1617   0.27131   0.27042  -0.1188   0.0006   1.0000
  29.000   1.1381   0.28892   0.28816  -0.1309   0.0006   1.0000
  29.500   1.1362   0.29923   0.29853  -0.1386   0.0006   1.0000
  30.000   1.1435   0.30562   0.30493  -0.1442   0.0006   1.0000
  30.500   1.1459   0.31430   0.31365  -0.1510   0.0006   1.0000
  31.000   1.1549   0.31957   0.31893  -0.1561   0.0006   1.0000
  31.500   1.1633   0.32522   0.32459  -0.1615   0.0007   1.0000
  32.000   1.1679   0.33271   0.33212  -0.1678   0.0007   1.0000
  32.500   1.1770   0.33755   0.33697  -0.1729   0.0007   1.0000
  33.000   1.1859   0.34222   0.34166  -0.1780   0.0007   1.0000
  33.500   1.1940   0.34704   0.34649  -0.1832   0.0007   1.0000
  34.000   1.1954   0.35622   0.35575  -0.1901   0.0008   1.0000
  34.500   1.2031   0.36080   0.36034  -0.1952   0.0008   1.0000
